county_name,reg_voters,likely_dems,likely_repubs,dnc_precinct_id,van_precinct_id,van_precinct_name
,0,0,0,549227,956527,0011
,6,0,0,549237,949030,0307
,1,0,0,549239,954453,0015
,2,0,0,549247,955095,0110
,2,0,0,549249,949131,1080
,1,0,0,549250,948856,0027
,1,0,0,549251,950278,0043
,2,0,0,549254,955708,2305
,1,0,0,549257,950434,0402
,1,0,0,549259,950811,2310
,0,0,0,551146,951462,0116
,1,0,0,551148,956735,0006
,2,0,0,551159,950435,0403
,2,0,0,551164,954398,0002
,1,0,0,551170,950834,2400
,1,0,0,551173,952211,0303
,1,0,0,551175,952513,0213
,1,0,0,551176,955042,0007
,1,0,0,551179,952955,0662
,1,0,0,551180,950176,0014
,1,0,0,551187,952563,0263
,1,0,0,551194,956434,0011
,2,0,0,551216,949683,0015
,1,0,0,551233,953035,0747
,1,0,0,551244,952216,0401
,3,0,0,551250,951577,0086
,1,0,0,551251,950688,1807
,0,0,0,553190,952399,0098
,2,0,0,553191,953911,0215
,1,0,0,553202,952236,0214
,4,0,0,553206,950865,3102
,1,0,0,553208,948843,0014
,1,0,0,553227,952219,0404
,1,0,0,553243,954464,0003
,1,0,0,555141,951316,0324
,2,0,0,555149,951165,4628
,1,0,0,555157,953971,001e
,1,0,0,555166,956815,0206
,1,0,0,555172,952389,0088
,2,0,0,555177,953630,0013
,3,0,0,555189,953209,0335
,2,0,0,555192,954644,0202
,1,0,0,555196,951557,0066
,1,0,0,555242,952317,0016
,2,0,0,555249,949008,0106
,3,0,0,555253,948882,0001
,2,0,0,555259,956503,0013
,2,0,0,555260,956779,0020
,1,0,0,555267,952165,0018
,1,0,0,555274,953846,0009
,2,0,0,555277,949607,4132
,3,0,0,555280,954556,0008
,1,0,0,555287,952781,0486
,2,0,0,555290,951444,0003
,1,0,0,555303,952756,0461
,1,0,0,555304,950305,0070
,1,0,0,555312,951632,0141
,1,0,0,555328,950391,0156
,1,0,0,555331,956529,0013
,1,0,0,555333,952638,0340
,3,0,0,555345,953961,0004
,0,0,0,555349,950820,2319
,2,0,0,555359,952456,0155
,1,0,0,555360,952892,0598
,1,0,0,555369,951698,0006
,1,0,0,555370,951062,4206
,1,0,0,555372,955953,4069
,2,0,0,555392,953552,0102
,3,0,0,555393,951071,4404
,1,0,0,555398,951697,0005
,1,0,0,555404,956672,0250
,1,0,0,555415,951163,4626
,1,0,0,555417,954203,0041
,1,0,0,555431,955528,1090
,4,0,0,555434,950355,0120
,1,0,0,555436,950776,2224
,1,0,0,555437,952678,0380
,1,0,0,555445,952228,0111
,1,0,0,555448,951040,3809
,2,0,0,555450,948883,0002
,1,0,0,555454,950603,1213
,1,0,0,555463,948861,0032
,1,0,0,555468,951395,0009
,1,0,0,555477,955499,1013
