county_name,reg_voters,white,latinx,aapi,black,native,missing,dnc_precinct_id,van_precinct_id,van_precinct_name
,1,0,0,0,0,0,1,547226,952814,0520
,2,0,0,0,0,0,2,547233,952857,0563
,1,0,0,0,0,0,5,547236,953305,0046
,1,0,0,0,0,0,1,547245,956932,0013
,1,0,0,0,0,0,1,549139,955579,1264
,1,0,0,0,0,0,1,549149,956528,0012
,4,0,0,0,0,0,4,549165,956777,0009
,1,0,0,0,0,0,1,549180,948976,3019
,2,0,0,0,0,0,2,549184,949409,3104
,1,0,0,0,0,0,1,549189,948968,2011
,1,0,0,0,0,0,1,549192,950536,0007
,1,0,0,0,0,0,1,549194,948948,0002
,1,0,0,0,0,0,2,549199,953155,0015
,1,0,0,0,0,0,1,549200,954707,0306
,2,0,0,0,0,0,2,549204,953190,0127
,1,0,0,0,0,0,1,549212,949848,005a
,1,0,0,0,0,0,1,549225,955037,0002
,0,1,0,0,0,0,0,549227,956527,0011
,6,0,0,0,0,0,6,549237,949030,0307
,1,0,0,0,0,0,1,549239,954453,0015
,2,0,0,0,0,0,2,549247,955095,0110
,2,0,0,0,0,0,2,549249,949131,1080
,1,0,0,0,0,0,1,549250,948856,0027
,1,0,0,0,0,0,1,549251,950278,0043
,2,0,0,0,0,0,2,549254,955708,2305
,1,0,0,0,0,0,1,549257,950434,0402
,1,0,0,0,0,0,1,549259,950811,2310
,0,0,0,0,0,0,1,551146,951462,0116
,1,0,0,0,0,0,1,551148,956735,0006
,2,0,0,0,0,0,2,551159,950435,0403
,2,0,0,0,0,0,2,551164,954398,0002
,1,0,0,0,0,0,1,551170,950834,2400
,1,0,0,0,0,0,1,551173,952211,0303
,1,0,0,0,0,0,1,551175,952513,0213
,1,0,0,0,0,0,1,551176,955042,0007
,1,0,0,0,0,0,1,551179,952955,0662
,1,0,0,0,0,0,1,551180,950176,0014
,1,0,0,0,0,0,1,551187,952563,0263
,1,0,0,0,0,0,1,551194,956434,0011
,2,1,0,0,0,0,2,551216,949683,0015
,1,0,0,0,0,0,1,551233,953035,0747
,1,0,0,0,0,0,1,551244,952216,0401
,3,0,0,0,0,0,3,551250,951577,0086
,1,0,0,0,0,0,1,551251,950688,1807
,0,0,0,0,0,0,1,553190,952399,0098
,2,0,0,0,0,0,2,553191,953911,0215
,1,0,0,0,0,0,1,553202,952236,0214
,4,0,0,0,0,0,4,553206,950865,3102
,1,0,0,0,0,0,1,553208,948843,0014
,1,0,0,0,0,0,1,553227,952219,0404
,1,0,0,0,0,0,1,553243,954464,0003
,1,0,0,0,0,0,1,555141,951316,0324
,2,0,0,0,0,0,2,555149,951165,4628
,1,0,0,0,0,0,1,555157,953971,001e
,1,1,0,0,0,0,1,555166,956815,0206
,1,0,0,0,0,0,1,555172,952389,0088
,2,0,0,0,0,0,2,555177,953630,0013
,3,0,0,0,0,0,3,555189,953209,0335
,2,0,0,0,0,0,2,555192,954644,0202
,1,0,0,0,0,0,1,555196,951557,0066
,1,0,0,0,0,0,1,555242,952317,0016
,2,0,0,0,0,0,2,555249,949008,0106
,3,0,0,0,0,0,3,555253,948882,0001
,2,0,0,0,0,0,3,555259,956503,0013
,2,0,0,0,0,0,2,555260,956779,0020
,1,0,0,0,0,0,1,555267,952165,0018
,1,0,0,0,0,0,1,555274,953846,0009
,2,0,0,0,0,0,2,555277,949607,4132
,3,0,0,0,0,0,3,555280,954556,0008
,1,0,0,0,0,0,1,555287,952781,0486
,2,0,1,0,0,0,2,555290,951444,0003
,1,0,0,0,0,0,1,555303,952756,0461
,1,0,0,0,0,0,1,555304,950305,0070
,1,0,0,0,0,0,1,555312,951632,0141
,1,0,0,0,0,0,1,555328,950391,0156
,1,0,0,0,0,0,1,555331,956529,0013
,1,0,0,0,0,0,1,555333,952638,0340
,3,0,0,0,0,0,4,555345,953961,0004
,0,0,1,0,0,0,0,555349,950820,2319
,2,0,0,0,0,0,2,555359,952456,0155
,1,0,0,0,0,0,1,555360,952892,0598
,1,0,0,0,0,0,1,555369,951698,0006
,1,0,0,0,0,0,1,555370,951062,4206
,1,0,0,0,0,0,2,555372,955953,4069
,2,1,0,0,0,0,2,555392,953552,0102
,3,0,0,0,0,0,3,555393,951071,4404
,1,0,0,0,0,0,1,555398,951697,0005
,1,0,0,0,0,0,1,555404,956672,0250
,1,0,0,0,0,0,1,555415,951163,4626
,1,0,0,0,0,0,1,555417,954203,0041
,1,0,0,0,0,0,1,555431,955528,1090
,4,0,0,0,0,0,4,555434,950355,0120
,1,0,0,0,0,0,1,555436,950776,2224
,1,0,0,0,0,0,1,555437,952678,0380
,1,0,0,0,0,0,1,555445,952228,0111
,1,0,0,0,0,0,1,555448,951040,3809
,2,0,0,0,0,0,2,555450,948883,0002
,1,0,0,0,0,0,1,555454,950603,1213
,1,1,0,0,0,0,0,555463,948861,0032
,1,0,1,0,0,0,0,555468,951395,0009
,1,0,0,0,0,0,1,555477,955499,1013
,1,0,0,0,0,0,1,555484,951042,3900
,0,1,0,0,0,0,0,555485,951162,4625
,0,1,0,0,0,0,1,555490,954772,0019
,1,0,0,0,0,0,1,555493,951642,0151
,1,0,0,0,0,0,1,555494,952526,0226
,2,0,0,0,0,0,2,555495,949697,0001a
,0,0,0,0,0,0,1,555498,952691,0393
,2,0,0,0,0,0,4,555503,952802,0507
,0,0,0,0,0,0,1,555504,955591,1294
,1,0,0,0,0,0,1,555505,954186,0022
,1,0,0,0,0,0,1,555515,954562,0014
,1,0,0,0,0,0,1,555519,952500,0199
,1,0,0,0,0,0,1,555520,955980,4129
,2,0,0,0,0,0,2,555539,952096,0003
,0,0,0,0,0,0,1,555542,952643,0345
,1,0,0,0,0,0,1,555543,954346,0066
,2,0,0,0,0,0,2,559114,955414,0056
,1,0,0,0,0,0,1,559121,953573,0323
,1,0,0,0,1,0,1,559124,953626,0009
,6,0,0,0,0,0,6,559127,953546,0001
,1,0,0,0,0,0,1,559139,951592,0101
,1,0,0,0,0,0,1,559146,951705,0013
,1,0,0,0,0,0,1,559147,955741,2425
,1,0,0,0,0,0,1,559158,952182,0012
,1,0,0,0,0,0,1,559170,955567,1208
,1,1,0,0,0,0,0,559190,955581,1270
,1,0,0,0,0,0,1,559193,951777,1067
,1,1,0,0,0,0,1,559196,956100,0403
,2,0,0,0,0,0,2,561192,953448,0013
,3,0,0,0,0,0,3,561195,951594,0103
,1,0,0,0,0,0,1,561204,955817,3193
,1,0,0,0,0,0,1,561219,950381,0146
,1,0,0,0,0,0,1,561226,949452,3148
,2,0,0,0,0,0,2,561227,953050,0764
,1,0,0,0,0,0,1,561228,955934,4016
,1,2,0,0,0,0,1,561233,955402,0044
,1,0,0,0,0,0,1,561249,952562,0262
,1,0,0,0,0,0,1,561252,955131,0004
,1,0,0,0,0,0,1,561257,955236,0316
,2,0,0,0,0,0,2,561266,953636,0020
,1,0,0,0,0,0,1,561267,952173,0003
,14,2,0,0,0,0,16,561289,950168,0009
,1,0,0,0,0,0,1,561293,952305,0004
,1,0,0,0,0,0,1,561299,954998,0320
,0,2,0,0,0,0,0,561302,954244,0120
,1,0,0,0,0,0,1,561311,951699,0007
,4,0,0,0,1,0,4,561314,953210,0336
,1,0,0,0,0,0,1,561317,951640,0149
,0,1,1,0,0,0,0,561338,956351,0352
,2,0,0,0,0,0,2,561343,956217,0124
,1,0,0,0,0,0,1,561370,956485,0006
,1,0,0,0,0,0,1,561371,956182,0319
,1,0,0,0,0,0,1,561374,954551,0003
,1,0,0,0,0,0,1,561376,952428,0127
,1,0,0,0,0,0,2,561378,950497,0219
