id,source_id,county_name,county_fips,location_name,address_line1,location_detail,city,state,state_fips,zip5,zip4,latitude,longitude,schedule,exceptions,notes,source,date_acquired,county_wide,van_precinct_ids
830,,MADISON,313,VOTE CENTER EV_2 NZISD,11390 FIFTH ST,,NORTH ZULCH,TX,48,77872,,30.916762,-96.105639,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
831,,MARION,315,MARION COUNTY ELECTION BUILDING,504 N. ALLEY,,JEFFERSON,TX,48,75657,,32.766172,-94.351391,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 8-5 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
832,,MARTIN,317,MARTIN CO. COMMUNITY CENTER,301 ST THERESA ST,,STANTON,TX,48,79782,,32.127153,-101.785009,10/19-10/23 8 AM-5 PM; 10/20 7 AM-7 PM; 10/26-10/30 8 AM-5 PM; 10/27 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
833,,MASON,319,MASON COUNTY COURTHOUSE 1ST FLOOR,201 FORT MCKAVITT,,MASON,TX,48,76856,,30.748325,-99.231936,10/13-10/30 08:00 AM-04:00 PM,,,State Party,2020-10-27,TRUE,
834,,MATAGORDA,321,BAY CITY SERVICE CENTER,2105 AVE. M,,BAY CITY,TX,48,77414,,28.982881,-95.961341,10/19-10/21 8-5 10/22 7-7 10/23 8-5 10/26-10/28 8-5 10/29 7-7 10/30 8-5,,,State Party,2020-10-27,TRUE,
835,,MATAGORDA,321,MATAGORDA COUNTY NAVIGATION DISTRICT #1,1602 MAIN ST.,,PALACIOS,TX,48,77465,,28.702138,-96.235914,10/19-10/21 8-5 10/22 7-7 10/23 8-5 10/26-10/28 8-5 10/29 7-7 10/30 8-5,,,State Party,2020-10-27,TRUE,
836,,MAVERICK,323,MULTIPURPOSE CENTER,408 S. ADAMS ST,,EAGLE PASS,TX,48,78852,,28.701742,-100.503482,10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 8 AM-1 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
837,,MCCULLOCH,307,COUNTY CLERK'S OFFICE,101 NORTH HIGH BRADY,,BRADY,TX,48,76825,,31.135135,-99.336828,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM; 10/27 07:00 AM-07:00 PM,,,State Party,2020-10-27,TRUE,
838,,MCLENNAN,309,FIRST ASSEMBLY OF GOD CHURCH,6701 BOSQUE BLVD.,,WACO,TX,48,76710,,31.527728,-97.20442,10/18 1 PM-6 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 1 PM-6 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
839,,MCLENNAN,309,HEWITT CITY HALL/LIBRARY,200 PATRIOT COURT,,HEWITT,TX,48,76643,,31.443167,-97.208,10/18 1 PM-6 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 1 PM-6 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
